instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1.0,,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,,0.2879,0.81,0.0,3.0,13.0,16.0
2.0,2011-01-01,1.0,0.0,1.0,1.0,0.0,6.0,0.0,,0.22,0.2727,0.8,0.0,8.0,32.0,40.0
3.0,2011-01-01,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0
4.0,2011-01-01,1.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0
5.0,2011-01-01,1.0,0.0,1.0,4.0,0.0,6.0,,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0
6.0,2011-01-01,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
7.0,2011-01-01,1.0,0.0,1.0,,0.0,6.0,0.0,1.0,0.22,0.2727,,,2.0,0.0,2.0
8.0,2011-01-01,1.0,0.0,1.0,7.0,0.0,6.0,0.0,,0.2,0.2576,0.86,0.0,,2.0,3.0
9.0,2011-01-01,1.0,0.0,1.0,8.0,0.0,,0.0,,0.24,0.2879,0.75,0.0,1.0,7.0,8.0
10.0,2011-01-01,1.0,0.0,,9.0,0.0,6.0,0.0,1.0,,0.3485,0.76,0.0,8.0,6.0,14.0
11.0,2011-01-01,1.0,0.0,,10.0,0.0,6.0,0.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0
12.0,2011-01-01,1.0,0.0,1.0,11.0,0.0,,0.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,
,2011-01-01,1.0,0.0,1.0,12.0,0.0,6.0,0.0,,0.42,0.4242,0.77,,29.0,55.0,84.0
14.0,2011-01-01,1.0,0.0,1.0,,0.0,6.0,0.0,2.0,0.46,0.4545,,0.2985,47.0,47.0,94.0
15.0,2011-01-01,1.0,0.0,1.0,14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0
16.0,,1.0,,,15.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0
,2011-01-01,1.0,0.0,1.0,16.0,0.0,6.0,0.0,2.0,0.42,0.4242,0.82,0.2985,,52.0,93.0
18.0,2011-01-01,1.0,0.0,1.0,17.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0
19.0,2011-01-01,1.0,0.0,1.0,,0.0,,0.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0
20.0,2011-01-01,1.0,0.0,1.0,19.0,0.0,,0.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0
21.0,2011-01-01,1.0,0.0,1.0,20.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
22.0,2011-01-01,1.0,0.0,1.0,21.0,0.0,6.0,0.0,2.0,0.4,,0.87,0.19399999999999998,,31.0,34.0
23.0,2011-01-01,1.0,0.0,,22.0,0.0,6.0,0.0,2.0,,0.4091,0.94,0.2239,11.0,17.0,28.0
24.0,2011-01-01,1.0,0.0,1.0,23.0,0.0,,0.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,
25.0,2011-01-02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0
26.0,2011-01-02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,
27.0,2011-01-02,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,,9.0
28.0,2011-01-02,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998,2.0,4.0,
29.0,2011-01-02,1.0,0.0,,4.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998,2.0,,3.0
30.0,2011-01-02,1.0,0.0,,6.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0
31.0,2011-01-02,1.0,0.0,1.0,7.0,0.0,,0.0,2.0,0.4,0.4091,0.76,0.19399999999999998,,1.0,1.0
32.0,2011-01-02,1.0,0.0,,8.0,0.0,0.0,,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0
33.0,2011-01-02,1.0,0.0,1.0,9.0,0.0,0.0,,,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0
34.0,2011-01-02,,0.0,1.0,10.0,0.0,,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0
35.0,,1.0,0.0,1.0,11.0,,,0.0,2.0,0.36,,0.71,0.2537,16.0,54.0,70.0
36.0,2011-01-02,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0
37.0,2011-01-02,1.0,0.0,1.0,13.0,0.0,,0.0,2.0,0.36,,0.66,0.1343,11.0,64.0,75.0
38.0,,1.0,0.0,1.0,14.0,,0.0,0.0,3.0,0.36,0.3485,0.76,,4.0,55.0,59.0
39.0,2011-01-02,1.0,0.0,1.0,15.0,0.0,,0.0,3.0,0.34,0.3333,0.81,0.1642,,55.0,
,2011-01-02,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.1642,,67.0,76.0
41.0,2011-01-02,1.0,,1.0,17.0,0.0,0.0,,,,0.3333,0.57,0.19399999999999998,7.0,58.0,65.0
42.0,2011-01-02,1.0,0.0,,18.0,0.0,0.0,0.0,2.0,0.36,,,0.3284,10.0,43.0,53.0
43.0,2011-01-02,1.0,0.0,,,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0
,2011-01-02,,,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0
45.0,,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0
46.0,2011-01-02,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,,0.44,0.2985,0.0,9.0,9.0
,2011-01-02,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0
48.0,2011-01-03,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.19699999999999998,0.44,0.3582,,5.0,5.0
,2011-01-03,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0
