valid_import,item,importer_id,exporter_id,country_of_origin,declared_quantity,declared_cost,mode_of_transport,route,date_of_departure,date_of_arrival,declared_weight,actual_weight,days_in_transit
true,cigar,111,222,India,129,3784.402550993379,sea,asia,04/25/2019,05/13/2019,1608.6051348652913,1637.6612207444452,18.232857344223607
true,cigar,111,222,India,104,3081.3508062067817,sea,america,04/22/2019,05/24/2019,831.7193007179408,848.273418925822,32.43602851842043
true,cigar,111,222,India,130,4414.125740672897,sea,europe,04/29/2019,05/16/2019,1527.704164897637,1582.0639108497548,16.99620629545437
true,cigar,111,222,India,143,2533.535990525657,sea,panama,05/05/2019,05/25/2019,1138.6805634419015,1179.9938168515516,19.965886248084047
true,cigar,111,222,China,141,4396.397887124386,sea,asia,05/14/2019,06/05/2019,761.7445813131814,781.7350802537519,22.16003410318866
true,cigar,111,222,China,122,6092.118364786866,sea,america,04/20/2019,05/21/2019,1332.1984920691502,1345.364184335288,30.992469008249344
true,cigar,111,222,China,136,5199.846977930615,sea,europe,04/20/2019,05/07/2019,1763.4837914065179,1840.5376336596985,16.954257309200948
true,cigar,111,222,China,141,6680.072682507811,sea,panama,05/11/2019,05/31/2019,1320.1632628520404,1370.1563447698363,19.97926934835086
true,cigar,111,222,USA,137,5986.699614696868,sea,asia,04/19/2019,05/06/2019,1163.2982189449533,1164.5402914963997,16.66541324403401
true,cigar,111,222,USA,137,6581.213019725392,sea,america,04/22/2019,05/20/2019,1681.5522652567324,1689.3307565764521,27.78856679556943
true,cigar,111,222,USA,140,5420.642669331944,sea,europe,05/04/2019,05/16/2019,1961.969780614324,1974.4034964385066,12.410324929897143
true,cigar,111,222,USA,149,9141.657536211273,sea,panama,05/04/2019,05/24/2019,2003.03977862742,2029.6271066725287,19.51256714214413
true,cigar,111,222,France,135,12272.933871893241,sea,asia,05/14/2019,05/29/2019,1063.9820372806128,1078.7761183428524,15.484739742811303
true,cigar,111,222,France,120,8011.831848666078,sea,america,04/27/2019,05/25/2019,1643.4072617007046,1677.285256802617,27.58197824055533
true,cigar,111,222,France,138,10262.675968831827,sea,europe,05/04/2019,05/18/2019,1402.1180314854842,1448.378133120826,14.400049207238645
true,cigar,111,222,France,141,8499.245417128499,sea,panama,04/19/2019,05/09/2019,1652.516562718221,1722.763031115968,20.198280852548532
true,cigar,111,222,Italy,139,8368.14125585966,sea,asia,05/14/2019,06/03/2019,1996.8276302956338,2085.4409260261255,19.581950921304987
true,cigar,111,222,Italy,141,7020.531543844854,sea,america,05/03/2019,06/06/2019,1950.2450657263341,2045.9237735946683,34.13517923899357
true,cigar,111,222,Italy,138,13364.901195606259,sea,europe,04/30/2019,05/20/2019,1233.2685574686889,1252.4498576770857,19.829683981512527
true,cigar,111,222,Italy,107,6773.901622461697,sea,panama,04/26/2019,05/17/2019,1542.0153445776507,1596.4184431256676,20.89463754453227
true,cigar,111,222,India,149,3306.4025589190433,sea,asia,05/12/2019,06/03/2019,1727.354972436311,1780.8485941073136,21.98189277803821
true,cigar,111,222,India,120,3642.2654170689643,sea,america,04/30/2019,06/04/2019,881.2982338822901,903.4671665819677,34.915816798477316
true,cigar,111,222,India,140,4310.327372857691,sea,europe,04/26/2019,05/13/2019,1567.0032209107717,1637.3623631267756,16.973900045018112
true,cigar,111,222,India,128,2627.096500059798,sea,panama,05/16/2019,06/03/2019,1524.460990201028,1553.412647767474,18.046423543620694
true,cigar,111,222,China,140,6670.143239265319,sea,asia,05/01/2019,05/21/2019,1408.681149797601,1449.1958191526544,19.61998666750439
true,cigar,111,222,China,136,5776.728869449361,sea,america,05/02/2019,06/05/2019,2004.6001937171352,2030.7792839395483,34.32936988610369
true,cigar,111,222,China,133,3656.46394986415,sea,europe,05/17/2019,06/02/2019,1024.412953382263,1045.6128548238526,16.334229686448612
true,cigar,111,222,China,102,4224.475923144846,sea,panama,05/04/2019,05/25/2019,1423.3513192095338,1476.5458286513433,20.941412174320366
