Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,154.889999,158.850006,154.229996,157.919998,154.794983,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,139.376251,91312200
2019-01-04,144.529999,148.550003,143.800003,148.259995,145.326126,58607100
2019-01-07,148.699997,148.830002,145.899994,147.929993,145.002686,54777800
2019-01-08,149.559998,151.820007,148.520004,150.750000,147.766861,41025300
2019-01-09,151.289993,154.529999,149.630005,153.309998,150.276199,45099100
2019-01-10,152.500000,153.970001,150.860001,153.800003,150.756531,35780700
2019-01-11,152.880005,153.699997,151.509995,152.289993,149.276382,27023200
2019-01-14,150.850006,151.270004,149.220001,150.000000,147.031708,32439200
2019-01-15,150.270004,153.389999,150.050003,153.070007,150.040970,28710900
2019-01-16,153.080002,155.880005,153.000000,154.940002,151.873962,30569700
2019-01-17,154.199997,157.660004,153.259995,155.860001,152.775742,29821200
2019-01-18,157.500000,157.880005,155.979996,156.820007,153.716751,33751000
2019-01-22,156.410004,156.729996,152.619995,153.300003,150.266403,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,150.874130,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,149.678253,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,154.638153,33535500
2019-01-28,155.789993,156.330002,153.660004,156.300003,153.207047,26192100
2019-01-29,156.250000,158.130005,154.110001,154.679993,151.619080,41587200
2019-01-30,163.250000,166.149994,160.229996,165.250000,161.979935,61109800
